Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,appid,Date,Game_Name,Genre,price,windows,mac,linux
21-Sep,512350.92,268.96,0.05%,942519,https://steamcharts.com/app/730,730,9/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Aug,512081.96,6014.6,1.19%,802544,https://steamcharts.com/app/730,730,8/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jul,506067.36,-43279.72,-7.88%,763523,https://steamcharts.com/app/730,730,7/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jun,549347.08,-110541.81,-16.75%,929940,https://steamcharts.com/app/730,730,6/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-May,659888.89,-63457.63,-8.77%,1087197,https://steamcharts.com/app/730,730,5/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Apr,723346.52,-17581.31,-2.37%,1148077,https://steamcharts.com/app/730,730,4/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Mar,740927.82,-85.42,-0.01%,1198581,https://steamcharts.com/app/730,730,3/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Feb,741013.24,-2196.42,-0.30%,1123485,https://steamcharts.com/app/730,730,2/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jan,743209.66,25405.91,3.54%,1124553,https://steamcharts.com/app/730,730,1/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Dec,717803.75,49049.17,7.33%,1164396,https://steamcharts.com/app/730,730,12/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Nov,668754.58,55087.89,8.98%,1037464,https://steamcharts.com/app/730,730,11/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Oct,613666.69,6816.37,1.12%,943876,https://steamcharts.com/app/730,730,10/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Sep,606850.32,-33107.34,-5.17%,977769,https://steamcharts.com/app/730,730,9/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Aug,639957.66,14056.85,2.25%,925348,https://steamcharts.com/app/730,730,8/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Jul,625900.81,-45746.65,-6.81%,857560,https://steamcharts.com/app/730,730,7/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Jun,671647.46,-97147.79,-12.64%,1009467,https://steamcharts.com/app/730,730,6/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-May,768795.25,-88808.97,-10.36%,1193359,https://steamcharts.com/app/730,730,5/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Apr,857604.22,186570.94,27.80%,1305714,https://steamcharts.com/app/730,730,4/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Mar,671033.29,127054.13,23.36%,1145972,https://steamcharts.com/app/730,730,3/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Feb,543979.15,42783.15,8.54%,916996,https://steamcharts.com/app/730,730,2/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Jan,501196.0,44494.44,9.74%,817229,https://steamcharts.com/app/730,730,1/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Dec,456701.56,30620.76,7.19%,767060,https://steamcharts.com/app/730,730,12/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Nov,426080.81,17085.5,4.18%,758412,https://steamcharts.com/app/730,730,11/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Oct,408995.31,-1930.29,-0.47%,747937,https://steamcharts.com/app/730,730,10/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Sep,410925.6,-4171.7,-1.00%,720052,https://steamcharts.com/app/730,730,9/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Aug,415097.3,21314.48,5.41%,647461,https://steamcharts.com/app/730,730,8/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Jul,393782.83,4406.1,1.13%,578933,https://steamcharts.com/app/730,730,7/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Jun,389376.72,24959.42,6.85%,587724,https://steamcharts.com/app/730,730,6/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-May,364417.31,12427.39,3.53%,588453,https://steamcharts.com/app/730,730,5/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Apr,351989.92,-38250.24,-9.80%,621614,https://steamcharts.com/app/730,730,4/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Mar,390240.16,18881.2,5.08%,680071,https://steamcharts.com/app/730,730,3/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Feb,371358.96,-30007.91,-7.48%,654069,https://steamcharts.com/app/730,730,2/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
19-Jan,401366.87,5857.61,1.48%,684511,https://steamcharts.com/app/730,730,1/1/2019,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Dec,395509.26,85423.83,27.55%,746548,https://steamcharts.com/app/730,730,12/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Nov,310085.43,-15822.39,-4.85%,546031,https://steamcharts.com/app/730,730,11/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Oct,325907.82,-7256.17,-2.18%,565968,https://steamcharts.com/app/730,730,10/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Sep,333163.99,49632.68,17.51%,583029,https://steamcharts.com/app/730,730,9/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Aug,283531.31,10224.05,3.74%,454370,https://steamcharts.com/app/730,730,8/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Jul,273307.26,6445.02,2.42%,426008,https://steamcharts.com/app/730,730,7/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Jun,266862.24,4691.36,1.79%,420261,https://steamcharts.com/app/730,730,6/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-May,262170.88,-26905.82,-9.31%,454481,https://steamcharts.com/app/730,730,5/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Apr,289076.7,-65193.64,-18.40%,523262,https://steamcharts.com/app/730,730,4/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Mar,354270.33,-28186.77,-7.37%,672502,https://steamcharts.com/app/730,730,3/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Feb,382457.1,426.57,0.11%,686588,https://steamcharts.com/app/730,730,2/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
18-Jan,382030.53,41153.65,12.07%,715850,https://steamcharts.com/app/730,730,1/1/2018,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Dec,340876.88,19745.48,6.15%,598405,https://steamcharts.com/app/730,730,12/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Nov,321131.4,-20729.86,-6.06%,601881,https://steamcharts.com/app/730,730,11/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Oct,341861.26,-12540.83,-3.54%,639968,https://steamcharts.com/app/730,730,10/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Sep,354402.09,-20023.6,-5.35%,665371,https://steamcharts.com/app/730,730,9/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Aug,374425.69,-3163.35,-0.84%,595781,https://steamcharts.com/app/730,730,8/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Jul,377589.04,3201.0,0.85%,624785,https://steamcharts.com/app/730,730,7/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Jun,374388.04,2558.7,0.69%,614621,https://steamcharts.com/app/730,730,6/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-May,371829.34,-20369.85,-5.19%,692966,https://steamcharts.com/app/730,730,5/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Apr,392199.19,5290.47,1.37%,709841,https://steamcharts.com/app/730,730,4/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Mar,386908.72,-15476.99,-3.85%,742356,https://steamcharts.com/app/730,730,3/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Feb,402385.71,9276.18,2.36%,744468,https://steamcharts.com/app/730,730,2/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
17-Jan,393109.53,50913.83,14.88%,814616,https://steamcharts.com/app/730,730,1/1/2017,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Dec,342195.7,13150.44,4.00%,662460,https://steamcharts.com/app/730,730,12/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Nov,329045.26,-4031.2,-1.21%,627124,https://steamcharts.com/app/730,730,11/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Oct,333076.46,10550.57,3.27%,661985,https://steamcharts.com/app/730,730,10/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Sep,322525.89,-24703.36,-7.11%,638360,https://steamcharts.com/app/730,730,9/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Aug,347229.25,-6548.31,-1.85%,599095,https://steamcharts.com/app/730,730,8/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Jul,353777.56,19466.5,5.82%,636056,https://steamcharts.com/app/730,730,7/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Jun,334311.06,-4427.34,-1.31%,579110,https://steamcharts.com/app/730,730,6/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-May,338738.39,-37057.47,-9.86%,668612,https://steamcharts.com/app/730,730,5/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Apr,375795.87,-3631.08,-0.96%,850485,https://steamcharts.com/app/730,730,4/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Mar,379426.95,3141.92,0.83%,737599,https://steamcharts.com/app/730,730,3/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Feb,376285.02,10913.93,2.99%,738969,https://steamcharts.com/app/730,730,2/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
16-Jan,365371.09,-12076.02,-3.20%,667432,https://steamcharts.com/app/730,730,1/1/2016,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Dec,377447.11,16521.23,4.58%,823694,https://steamcharts.com/app/730,730,12/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Nov,360925.88,-1840.21,-0.51%,786707,https://steamcharts.com/app/730,730,11/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Oct,362766.09,6860.76,1.93%,732093,https://steamcharts.com/app/730,730,10/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Sep,355905.33,-1629.91,-0.46%,725939,https://steamcharts.com/app/730,730,9/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Aug,357535.24,28002.87,8.50%,819902,https://steamcharts.com/app/730,730,8/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Jul,329532.38,-14623.63,-4.25%,541181,https://steamcharts.com/app/730,730,7/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Jun,344156.01,26869.72,8.47%,610401,https://steamcharts.com/app/730,730,6/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-May,317286.29,25537.55,8.75%,677701,https://steamcharts.com/app/730,730,5/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Apr,291748.74,23752.43,8.86%,568556,https://steamcharts.com/app/730,730,4/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Mar,267996.31,28061.68,11.70%,595439,https://steamcharts.com/app/730,730,3/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Feb,239934.64,5863.96,2.51%,455508,https://steamcharts.com/app/730,730,2/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
15-Jan,234070.68,50481.18,27.50%,443188,https://steamcharts.com/app/730,730,1/1/2015,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Dec,183589.5,36260.43,24.61%,367634,https://steamcharts.com/app/730,730,12/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Nov,147329.07,13791.37,10.33%,348018,https://steamcharts.com/app/730,730,11/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Oct,133537.7,2503.02,1.91%,260613,https://steamcharts.com/app/730,730,10/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Sep,131034.68,-2151.11,-1.62%,242494,https://steamcharts.com/app/730,730,9/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Aug,133185.79,27047.79,25.48%,277192,https://steamcharts.com/app/730,730,8/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Jul,106138.0,21974.38,26.11%,193613,https://steamcharts.com/app/730,730,7/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Jun,84163.62,-761.4,-0.90%,164134,https://steamcharts.com/app/730,730,6/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-May,84925.02,6044.49,7.66%,170137,https://steamcharts.com/app/730,730,5/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Apr,78880.53,8737.2,12.46%,142526,https://steamcharts.com/app/730,730,4/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Mar,70143.33,10351.96,17.31%,164495,https://steamcharts.com/app/730,730,3/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Feb,59791.37,4164.01,7.49%,119764,https://steamcharts.com/app/730,730,2/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
14-Jan,55627.35,8839.08,18.89%,102084,https://steamcharts.com/app/730,730,1/1/2014,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Dec,46788.27,16897.75,56.53%,96298,https://steamcharts.com/app/730,730,12/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Nov,29890.52,1988.38,7.13%,92279,https://steamcharts.com/app/730,730,11/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Oct,27902.14,223.23,0.81%,53263,https://steamcharts.com/app/730,730,10/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Sep,27678.91,1717.06,6.61%,52052,https://steamcharts.com/app/730,730,9/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Aug,25961.85,5469.33,26.69%,50511,https://steamcharts.com/app/730,730,8/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Jul,20492.52,2372.68,13.09%,42149,https://steamcharts.com/app/730,730,7/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Jun,18119.84,-590.5,-3.16%,33700,https://steamcharts.com/app/730,730,6/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-May,18710.34,2704.34,16.90%,53379,https://steamcharts.com/app/730,730,5/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Apr,16006.0,46.11,0.29%,31966,https://steamcharts.com/app/730,730,4/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Mar,15959.89,-1412.84,-8.13%,32166,https://steamcharts.com/app/730,730,3/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Feb,17372.73,1208.51,7.48%,35238,https://steamcharts.com/app/730,730,2/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
13-Jan,16164.22,2084.83,14.81%,31359,https://steamcharts.com/app/730,730,1/1/2013,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
12-Dec,14079.39,-54.71,-0.39%,27553,https://steamcharts.com/app/730,730,12/1/2012,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
12-Nov,14134.1,3394.62,31.61%,50533,https://steamcharts.com/app/730,730,11/1/2012,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
12-Oct,10739.48,-5261.27,-32.88%,20850,https://steamcharts.com/app/730,730,10/1/2012,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
12-Sep,16000.75,525.36,3.39%,36057,https://steamcharts.com/app/730,730,9/1/2012,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
12-Aug,15475.39,14542.81,1559.43%,52261,https://steamcharts.com/app/730,730,8/1/2012,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Sep,391082.08,-33898.09,-7.98%,666838,https://steamcharts.com/app/570,570,9/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Aug,424980.17,1823.99,0.43%,699613,https://steamcharts.com/app/570,570,8/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Jul,423156.18,1646.22,0.39%,707406,https://steamcharts.com/app/570,570,7/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Jun,421509.96,6365.0,1.53%,734277,https://steamcharts.com/app/570,570,6/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-May,415144.96,1360.0,0.33%,672307,https://steamcharts.com/app/570,570,5/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Apr,413784.97,23372.21,5.99%,705534,https://steamcharts.com/app/570,570,4/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Mar,390412.76,-14419.37,-3.56%,648875,https://steamcharts.com/app/570,570,3/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Feb,404832.13,-27839.52,-6.43%,651615,https://steamcharts.com/app/570,570,2/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
21-Jan,432671.65,10119.33,2.39%,694613,https://steamcharts.com/app/570,570,1/1/2021,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Dec,422552.32,-3352.52,-0.79%,697833,https://steamcharts.com/app/570,570,12/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Nov,425904.83,19543.48,4.81%,711824,https://steamcharts.com/app/570,570,11/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Oct,406361.36,-2248.43,-0.55%,723280,https://steamcharts.com/app/570,570,10/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Sep,408609.78,-21107.34,-4.91%,670547,https://steamcharts.com/app/570,570,9/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Aug,429717.12,-20496.87,-4.55%,666138,https://steamcharts.com/app/570,570,8/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Jul,450213.99,-6970.43,-1.52%,712610,https://steamcharts.com/app/570,570,7/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Jun,457184.42,-27004.6,-5.58%,733294,https://steamcharts.com/app/570,570,6/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-May,484189.02,-9111.25,-1.85%,793135,https://steamcharts.com/app/570,570,5/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Apr,493300.27,56152.91,12.85%,801121,https://steamcharts.com/app/570,570,4/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Mar,437147.36,31168.71,7.68%,743933,https://steamcharts.com/app/570,570,3/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Feb,405978.65,27053.22,7.14%,663812,https://steamcharts.com/app/570,570,2/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
20-Jan,378925.43,-5254.32,-1.37%,616415,https://steamcharts.com/app/570,570,1/1/2020,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Dec,384179.76,-17752.05,-4.42%,685165,https://steamcharts.com/app/570,570,12/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Nov,401931.8,13575.94,3.50%,708517,https://steamcharts.com/app/570,570,11/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Oct,388355.86,-33615.38,-7.97%,739924,https://steamcharts.com/app/570,570,10/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Sep,421971.24,-45177.05,-9.67%,753996,https://steamcharts.com/app/570,570,9/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Aug,467148.29,2360.67,0.51%,826690,https://steamcharts.com/app/570,570,8/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Jul,464787.61,-42740.82,-8.42%,779160,https://steamcharts.com/app/570,570,7/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Jun,507528.44,-40994.74,-7.47%,865374,https://steamcharts.com/app/570,570,6/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-May,548523.18,28304.2,5.44%,997341,https://steamcharts.com/app/570,570,5/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Apr,520218.98,-66286.87,-11.30%,971545,https://steamcharts.com/app/570,570,4/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Mar,586505.85,21596.18,3.82%,1033925,https://steamcharts.com/app/570,570,3/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Feb,564909.67,89162.67,18.74%,964921,https://steamcharts.com/app/570,570,2/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
19-Jan,475747.0,36379.17,8.28%,874888,https://steamcharts.com/app/570,570,1/1/2019,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Dec,439367.83,-21705.66,-4.71%,765422,https://steamcharts.com/app/570,570,12/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Nov,461073.48,29899.57,6.93%,826053,https://steamcharts.com/app/570,570,11/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Oct,431173.91,-35296.83,-7.57%,739643,https://steamcharts.com/app/570,570,10/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Sep,466470.74,-9630.34,-2.02%,826166,https://steamcharts.com/app/570,570,9/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Aug,476101.08,34386.73,7.78%,829281,https://steamcharts.com/app/570,570,8/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Jul,441714.35,-32185.65,-6.79%,701582,https://steamcharts.com/app/570,570,7/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Jun,473900.0,-425.87,-0.09%,796886,https://steamcharts.com/app/570,570,6/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-May,474325.87,43984.93,10.22%,844713,https://steamcharts.com/app/570,570,5/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Apr,430340.94,-6921.4,-1.58%,733214,https://steamcharts.com/app/570,570,4/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Mar,437262.35,-1585.37,-0.36%,773897,https://steamcharts.com/app/570,570,3/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Feb,438847.72,-48014.2,-9.86%,779299,https://steamcharts.com/app/570,570,2/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
18-Jan,486861.91,-26212.42,-5.11%,778627,https://steamcharts.com/app/570,570,1/1/2018,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Dec,513074.33,25693.09,5.27%,864939,https://steamcharts.com/app/570,570,12/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Nov,487381.24,21254.45,4.56%,861173,https://steamcharts.com/app/570,570,11/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Oct,466126.79,-25323.37,-5.15%,832550,https://steamcharts.com/app/570,570,10/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Sep,491450.16,-65046.14,-11.69%,829555,https://steamcharts.com/app/570,570,9/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Aug,556496.3,58051.92,11.65%,876395,https://steamcharts.com/app/570,570,8/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Jul,498444.38,-56844.7,-10.24%,824297,https://steamcharts.com/app/570,570,7/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Jun,555289.07,-12237.35,-2.16%,923122,https://steamcharts.com/app/570,570,6/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-May,567526.42,27248.39,5.04%,972876,https://steamcharts.com/app/570,570,5/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Apr,540278.03,-8157.41,-1.49%,921318,https://steamcharts.com/app/570,570,4/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Mar,548435.44,-43131.81,-7.29%,956232,https://steamcharts.com/app/570,570,3/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Feb,591567.25,11285.78,1.94%,1040877,https://steamcharts.com/app/570,570,2/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
17-Jan,580281.47,-13639.13,-2.30%,1007451,https://steamcharts.com/app/570,570,1/1/2017,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Dec,593920.6,9669.27,1.65%,1014671,https://steamcharts.com/app/570,570,12/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Nov,584251.33,-55103.82,-8.62%,1007270,https://steamcharts.com/app/570,570,11/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Oct,639355.14,16771.24,2.69%,1141191,https://steamcharts.com/app/570,570,10/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Sep,622583.9,-43429.15,-6.52%,1064377,https://steamcharts.com/app/570,570,9/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Aug,666013.05,27800.4,4.36%,1117519,https://steamcharts.com/app/570,570,8/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Jul,638212.65,-2014.33,-0.31%,1084198,https://steamcharts.com/app/570,570,7/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
16-Jun,640226.98,16428.3,2.63%,1095994,https://steamcharts.com/app/570,570,6/1/2016,Dota 2,Action;Free to Play;Strategy,0.0,True,True,True
